symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
003960.KS,003960,사조대림,사조대림,Unknown,사조대림 (KOSPI),33100.0,33100.0,32400.0,32750.0,33000.0,32750.0,-0.76,0.3,-1.06,2.11,0.0,1.06,Bearish,46.8,45700.0,31250.0,-28.3,1.65,,,,,,,,-75.4457,-170.4472,95.0015,Positive,7.53,0.539,Strong Downtrend,0,34241.0,-4.35,False,35637.0,-8.1,False,38340.0,-14.58,False,0,15.0,76.6,50,49.6,68.75,47.96
011690.KS,011690,와이투솔루션,와이투솔루션,Unknown,와이투솔루션 (KOSPI),8370.0,8500.0,8000.0,8130.0,8350.0,8130.0,-2.63,0.24,-2.87,5.97,1.55,1.55,Bearish,62.7,9140.0,2320.0,-11.1,0.55,,,,,,,,555.967,383.9974,171.9696,Positive,67.64,0.772,Strong Uptrend,5,6785.0,19.82,False,5327.0,52.62,False,4294.0,89.33,False,0,68.0,62.6,50,49.6,52.75,58.76
006805.KS,006805,미래에셋증권우,미래에셋증권우,Unknown,미래에셋증권우 (KOSPI),22000.0,22150.0,21000.0,21150.0,21950.0,21150.0,-3.64,0.23,-3.86,5.23,0.68,0.68,Strong Bearish,44.2,27398.0,4484.0,-22.8,1.13,,,,,,,,70.0078,142.6914,-72.6836,Bearish,15.31,0.268,Uptrend,4,22134.0,-4.45,False,17430.0,21.34,False,13144.0,60.91,False,0,63.0,57.0,50,49.6,56.75,56.27
044450.KS,044450,KSS해운,KSS해운,Unknown,KSS해운 (KOSPI),12910.0,14200.0,11970.0,12820.0,12860.0,12820.0,-0.31,0.39,-0.7,17.27,9.99,6.58,Long Upper Doji,60.1,13640.0,8590.0,-6.0,1.41,,,,,,,,528.8412,534.373,-5.5318,Bearish,22.98,0.663,Strong Uptrend,5,11210.0,14.36,False,10194.0,25.76,False,9948.0,28.87,False,0,68.0,61.6,50,49.6,55.5,58.79
092200.KS,092200,디아이씨,디아이씨,Unknown,디아이씨 (KOSPI),8150.0,8160.0,7580.0,7590.0,7970.0,7590.0,-4.77,2.26,-6.87,7.12,0.12,0.12,Strong Bearish,41.1,14630.0,4100.0,-48.1,1.03,,,,,,,,-263.9055,-341.4204,77.5149,Positive,11.88,0.254,Downtrend,2,8974.0,-15.42,False,9697.0,-21.73,False,7159.0,6.02,False,0,16.0,67.6,50,49.6,50.0,44.14
035510.KS,035510,신세계 I&C,신세계 I&C,Unknown,신세계 I&C (KOSPI),0.0,21100.0,21100.0,21100.0,22400.0,21100.0,-5.8,-100.0,,,,,Flat,56.3,24150.0,11600.0,-12.6,0.0,,,,,,,,610.0939,452.9823,157.1116,Positive,20.56,0.769,Strong Uptrend,5,18917.0,11.54,False,17830.0,18.34,False,16740.0,26.05,False,0,68.0,70.6,50,49.6,52.75,60.76
034120.KS,034120,SBS,SBS,Unknown,SBS (KOSPI),15880.0,15960.0,15780.0,15900.0,15800.0,15900.0,0.63,0.51,0.13,1.13,0.38,0.63,Long Lower Doji,51.4,29200.0,14770.0,-45.5,0.45,,,,,,,,-156.2522,-269.9883,113.7361,Bullish,9.28,0.789,Strong Downtrend,0,16764.0,-5.15,False,17933.0,-11.34,False,20035.0,-20.64,False,0,0.0,78.6,50,49.6,54.25,42.52
005950.KS,005950,이수화학,이수화학,Unknown,이수화학 (KOSPI),11830.0,11920.0,11100.0,11130.0,11850.0,11130.0,-6.08,-0.17,-5.92,6.93,0.76,0.25,Strong Bearish,70.6,12410.0,5200.0,-10.3,1.94,,,,,,,,657.5624,352.3895,305.1729,Bullish,49.91,1.006,Uptrend,4,8644.0,28.76,False,8944.0,24.44,False,7563.0,47.16,False,0,56.0,52.0,50,49.6,64.25,53.66
000320.KS,000320,노루홀딩스,노루홀딩스,Unknown,노루홀딩스 (KOSPI),22600.0,22700.0,22050.0,22100.0,22550.0,22100.0,-2.0,0.22,-2.21,2.88,0.44,0.22,Strong Bearish,49.2,36250.0,14360.0,-39.0,0.64,,,,,,,,64.6772,-40.3559,105.033,Positive,14.82,0.578,Downtrend,2,22976.0,-3.81,False,22405.0,-1.36,True,23440.0,-5.72,False,1,42.67,64.6,50,49.6,50.5,51.44
241590.KS,241590,화승엔터프라이즈,화승엔터프라이즈,Unknown,화승엔터프라이즈 (KOSPI),4980.0,4985.0,4795.0,4830.0,4845.0,4830.0,-0.31,2.79,-3.01,3.82,0.1,0.7,Strong Bearish,56.3,8680.0,4470.0,-44.4,0.87,,,,,,,,18.6121,-29.6048,48.2169,Positive,10.81,0.902,Strong Downtrend,0,4910.0,-1.63,True,4953.0,-2.48,False,6049.0,-20.15,False,1,18.67,61.6,50,49.6,50.5,43.49
