symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
204020.KQ,204020,그리티,그리티,Unknown,그리티 (KOSDAQ),2395.0,2405.0,2350.0,2355.0,2375.0,2355.0,-0.84,0.84,-1.67,2.3,0.42,0.21,Strong Bearish,72.4,4495.0,1906.0,-47.6,1.09,,,,,,,,78.7906,55.8426,22.9481,Positive,22.22,0.881,Downtrend,2,2086.0,12.9,False,2132.0,10.46,False,2542.0,-7.36,False,0,16.0,46.6,50.0,62.61,54.5,41.29
049830.KQ,049830,승일,승일,Unknown,승일 (KOSDAQ),7480.0,7540.0,7390.0,7490.0,7480.0,7490.0,0.13,0.0,0.13,2.01,0.67,1.2,Long Lower Doji,50.0,9390.0,7310.0,-20.2,1.71,,,,,,,,-18.2488,-32.2602,14.0114,Bullish,3.53,0.666,Strong Downtrend,0,7614.0,-1.63,True,8040.0,-6.84,False,8388.0,-10.71,False,1,26.67,87.6,50.0,62.61,72.5,56.54
256150.KQ,256150,한독크린텍,한독크린텍,Unknown,한독크린텍 (KOSDAQ),5480.0,5480.0,5400.0,5450.0,5420.0,5450.0,0.55,1.11,-0.55,1.46,0.0,0.91,Bearish,70.6,6250.0,5080.0,-12.8,0.63,,,,,,,,64.6471,51.6897,12.9573,Positive,9.46,0.804,Downtrend,2,5238.0,4.05,False,5314.0,2.56,False,5646.0,-3.47,False,0,39.0,46.6,50.0,62.61,61.0,48.84
356890.KQ,356890,싸이버원,싸이버원,Unknown,싸이버원 (KOSDAQ),3850.0,3945.0,3800.0,3825.0,3860.0,3825.0,-0.91,-0.26,-0.65,3.77,2.47,0.65,Bearish Rejection,55.3,5170.0,2920.0,-26.0,0.13,,,,,,,,163.3582,148.79,14.5682,Positive,35.39,0.625,Downtrend,2,3503.0,9.19,False,3760.0,1.73,True,3701.0,3.35,False,1,50.67,65.6,50.0,62.61,57.25,56.72
203450.KQ,203450,유니온바이오메트릭스,유니온바이오메트릭스,Unknown,유니온바이오메트릭스 (KOSDAQ),3215.0,3245.0,3135.0,3240.0,3210.0,3240.0,0.93,0.16,0.78,3.42,0.16,2.49,Bullish Reversal,54.3,3650.0,2850.0,-11.2,0.5,,,,,,,,32.6182,33.2679,-0.6497,Bearish,14.26,0.607,Neutral,3,3194.0,1.44,True,3148.0,2.92,False,3158.0,2.6,False,1,62.67,67.6,50.0,62.61,67.5,61.84
254120.KQ,254120,자비스,자비스,Unknown,자비스 (KOSDAQ),1530.0,1540.0,1475.0,1483.0,1525.0,1483.0,-2.75,0.33,-3.07,4.25,0.65,0.52,Strong Bearish,64.9,1906.0,1039.0,-22.2,0.92,,,,,,,,64.3612,49.7695,14.5917,Positive,32.51,0.803,Strong Downtrend,1,1278.0,16.04,False,1390.0,6.69,False,1431.0,3.63,False,0,27.0,56.6,50.0,62.61,52.75,46.92
066910.KQ,066910,손오공,손오공,Unknown,손오공 (KOSDAQ),680.0,687.0,657.0,680.0,669.0,680.0,1.64,1.64,0.0,4.41,1.03,3.38,Long Lower Doji,61.1,1149.0,550.0,-40.8,1.91,,,,,,,,19.1851,12.5656,6.6194,Positive,32.88,0.779,Downtrend,2,633.0,7.42,False,644.0,5.59,False,790.0,-13.92,False,0,24.0,78.2,50.0,62.61,65.75,52.72
340810.KQ,340810,시선AI,시선AI,Unknown,시선AI (KOSDAQ),3210.0,3930.0,3155.0,3335.0,3155.0,3335.0,5.71,1.74,3.89,24.14,18.54,1.71,Bullish,62.4,6110.0,2400.0,-45.4,26.92,,,,,,,,96.3748,85.454,10.9208,Bullish,26.41,0.842,Strong Downtrend,1,2940.0,13.44,False,2960.0,12.67,False,3493.0,-4.52,False,0,11.0,73.4,50.0,62.61,69.0,47.94
032580.KQ,032580,피델릭스,피델릭스,Unknown,피델릭스 (KOSDAQ),1325.0,1381.0,1308.0,1372.0,1325.0,1372.0,3.55,0.0,3.55,5.51,0.68,1.28,Bullish,80.1,1375.0,850.0,-0.2,2.99,,,,,,,,53.736,33.2539,20.4821,Bullish,29.03,1.125,Neutral,3,1112.0,23.38,False,1110.0,23.6,False,1161.0,18.17,False,0,41.0,62.4,50.0,62.61,69.25,54.22
080530.KQ,080530,코디,코디,Unknown,코디 (KOSDAQ),0.0,0.0,0.0,815.0,815.0,815.0,0.0,-100.0,,,,,Flat,45.5,1761.0,780.0,-53.7,,,,,,,,,-7.5685,-12.6334,5.0649,Positive,6.8,0.657,Strong Downtrend,0,876.0,-6.96,False,979.0,-16.75,False,1183.0,-31.11,False,0,0.0,78.25,50.0,62.61,45.67,43.52
208860.KQ,208860,다산디엠씨,다산디엠씨,Unknown,다산디엠씨 (KOSDAQ),1359.0,1369.0,1331.0,1332.0,1359.0,1332.0,-1.99,0.0,-1.99,2.8,0.74,0.07,Strong Bearish,46.1,2385.0,1236.0,-44.2,0.8,,,,,,,,-8.9681,-17.8026,8.8345,Positive,12.6,0.557,Strong Downtrend,1,1472.0,-9.51,False,1444.0,-7.76,False,1704.0,-21.83,False,0,12.0,67.6,50.0,62.61,50.5,44.94
309930.KQ,309930,조이웍스앤코,조이웍스앤코,Unknown,조이웍스앤코 (KOSDAQ),0.0,1842.0,1842.0,1842.0,1878.0,1842.0,-1.92,-100.0,,,,,Flat,77.7,3600.0,815.0,-48.8,0.0,,,,,,,,246.534,189.2289,57.3052,Positive,109.42,0.816,Downtrend,2,1069.0,72.31,False,1500.0,22.8,False,2213.0,-16.76,False,0,16.0,49.6,50.0,62.61,50.5,41.64
317240.KQ,317240,TS트릴리온,TS트릴리온,Unknown,TS트릴리온 (KOSDAQ),0.0,0.0,0.0,309.0,309.0,309.0,0.0,-100.0,,,,,Flat,44.5,595.0,197.0,-48.1,,,,,,,,,-4.9897,-6.5487,1.559,Positive,7.01,0.512,Neutral,3,337.0,-8.31,False,325.0,-4.92,False,274.0,12.77,False,0,35.0,78.25,50.0,62.61,53.33,54.79
123570.KQ,123570,이엠넷,이엠넷,Unknown,이엠넷 (KOSDAQ),1999.0,2035.0,1995.0,2020.0,2015.0,2020.0,0.25,-0.79,1.05,2.0,0.75,0.2,Bullish,57.8,2570.0,1819.0,-21.4,0.43,,,,,,,,25.7731,20.2236,5.5494,Positive,14.03,0.689,Downtrend,2,1956.0,3.27,False,1956.0,3.27,False,2148.0,-5.96,False,0,39.0,75.0,50.0,62.61,61.0,55.94
