symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
ZC=F,ZC,Corn Futures,옥수수 선물,농산물,Agriculture grain proxy.,473.5,2.77,71.7,475.5,371.5,-0.4,0.98,,,,Strong Uptrend,5,444.74,6.47,False,439.49,7.74,False,427.44,10.78,False,15.0,0
GC=F,GC,Gold Futures,금 선물,귀금속,Precious metals proxy.,4574.7,-2.15,39.9,5318.4,3181.4,-14.0,84.05,,,,Uptrend,4,4867.13,-6.01,False,4625.4,-1.1,True,4084.09,12.01,False,42.0,1
BZ=F,BZ,Brent Crude Oil Futures,브렌트 원유,에너지,Brent crude oil international benchmark.,104.69,-3.27,54.6,118.35,58.92,-11.5,0.71,,,,Strong Uptrend,5,90.38,15.83,False,76.83,36.26,False,72.02,45.36,False,51.0,0
PL=F,PL,Platinum Futures,백금 선물,귀금속,Platinum precious metals proxy.,1943.8,-1.88,41.9,2852.4,957.5,-31.9,78.07,,,,Neutral,3,2071.34,-6.16,False,2020.17,-3.78,False,1699.64,14.37,False,26.0,0
SI=F,SI,Silver Futures,은 선물,귀금속,Precious metals proxy.,73.04,-2.61,43.2,115.08,31.99,-36.5,322.36,,,,Neutral,3,78.59,-7.06,False,73.79,-1.02,True,56.94,28.28,False,30.0,1
HG=F,HG,Copper Futures,구리 선물,산업금속,Industrial metals proxy.,5.97,-0.83,55.3,6.18,4.33,-3.4,41.99,,,,Strong Uptrend,5,5.8,2.93,False,5.62,6.23,False,5.24,13.93,False,45.0,0
NG=F,NG,Natural Gas Futures,천연가스,에너지,Natural gas energy benchmark.,2.73,7.06,47.9,7.46,2.52,-63.4,0.38,,,,Strong Downtrend,1,2.96,-7.77,False,3.67,-25.61,False,3.46,-21.1,False,17.0,0
CL=F,CL,Crude Oil Futures,WTI 원유,에너지,WTI crude oil energy benchmark.,100.17,3.94,56.4,112.95,55.27,-11.3,0.52,,,,Strong Uptrend,5,84.59,18.42,False,71.86,39.4,False,67.98,47.35,False,51.0,0
ZW=F,ZW,Wheat Futures,밀 선물,농산물,Agriculture grain proxy.,646.0,3.94,70.1,646.0,495.0,0.0,1.05,,,,Strong Uptrend,5,581.34,11.12,False,553.29,16.76,False,538.6,19.94,False,15.0,0
SB=F,SB,Sugar Futures,설탕 선물,농산물,Soft commodities proxy.,14.29,3.33,52.6,18.22,13.31,-21.6,0.79,,,,Strong Downtrend,0,14.36,-0.49,True,14.57,-1.92,True,15.36,-6.97,False,29.0,2
KC=F,KC,Coffee Futures,커피 선물,농산물,Soft commodities proxy.,293.4,-3.52,45.8,432.35,280.05,-32.1,0.59,,,,Strong Downtrend,0,298.15,-1.59,True,338.63,-13.36,False,345.5,-15.08,False,19.0,1
