symbol,display_symbol,name_en,name_local,sector,description,price,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
HAL,HAL,Halliburton Company,Halliburton Company,에너지,"Halliburton Company provides products and services to the energy industry worldwide. It operates in two segments, Comple",40.36,64.1,40.42,18.84,-0.1,0.92,22.3,41.32,2.4,Strong Uptrend,5,36.17,11.58,False,32.45,24.38,False,27.15,48.66,False,10.0,0
HIG,HIG,"The Hartford Insurance Group, Inc.","The Hartford Insurance Group, Inc.",금융 서비스,"The Hartford Insurance Group, Inc., together with its subsidiaries, provides insurance and financial services to individ",134.45,42.4,142.92,116.8,-5.9,2.05,9.5,150.15,11.7,Uptrend,4,137.81,-2.44,False,135.37,-0.68,True,130.96,2.66,False,41.28,1
HAS,HAS,"Hasbro, Inc.","Hasbro, Inc.",경기 소비재,"Hasbro, Inc. operates as a toy and game company in the United States, Europe, Canada, Mexico, Latin America, Australia, ",95.08,53.7,105.21,58.28,-9.6,0.86,,114.33,20.2,Strong Uptrend,5,94.9,0.19,True,88.2,7.8,False,80.52,18.08,False,46.24,1
HSIC,HSIC,"Henry Schein, Inc.","Henry Schein, Inc.",헬스케어,"Henry Schein, Inc. provides health care products and services to office-based dental and medical practitioners worldwide",77.54,54.9,83.35,62.03,-7.0,0.86,23.7,90.21,16.3,Uptrend,4,76.93,0.79,True,75.9,2.16,False,72.4,7.1,False,43.84,1
HCA,HCA,"HCA Healthcare, Inc.","HCA Healthcare, Inc.",헬스케어,"HCA Healthcare, Inc., through its subsidiaries, provides health care services in the United States. The company owns, ma",432.46,25.2,544.32,325.73,-20.6,3.88,14.9,535.0,23.7,Uptrend,4,505.3,-14.42,False,491.43,-12.0,False,441.49,-2.05,False,25.0,0
DOC,DOC,"Healthpeak Properties, Inc.","Healthpeak Properties, Inc.",부동산·리츠,"Healthpeak Properties, Inc. is a Standard & Poor's 500 company that owns, operates, and develops high-quality real estat",16.43,44.1,18.58,15.41,-11.6,1.02,164.3,19.64,19.5,Strong Downtrend,1,16.83,-2.38,False,16.76,-1.97,True,16.87,-2.61,False,34.12,1
HPE,HPE,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Company,기술,"Hewlett Packard Enterprise Company, together with its subsidiaries, develops intelligent solutions in the United States,",28.16,70.1,28.76,15.78,-2.1,0.68,,26.43,-6.1,Strong Uptrend,5,23.16,21.59,False,22.89,23.02,False,21.92,28.47,False,5.0,0
HSY,HSY,The Hershey Company,The Hershey Company,필수 소비재,"The Hershey Company, together with its subsidiaries, engages in the manufacture and sale of confectionery products and p",191.48,34.4,236.28,148.02,-19.0,0.84,44.0,224.61,17.3,Uptrend,4,213.09,-10.14,False,197.65,-3.12,False,186.01,2.94,False,17.0,0
HD,HD,"The Home Depot, Inc.","The Home Depot, Inc.",경기 소비재,"The Home Depot, Inc. operates as a home improvement retailer in the United States and internationally. It sells various ",335.89,46.5,417.91,318.77,-19.6,0.9,23.6,408.21,21.5,Strong Downtrend,0,353.45,-4.97,False,355.22,-5.44,False,366.43,-8.33,False,27.0,0
HLT,HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.,경기 소비재,"Hilton Worldwide Holdings Inc., a hospitality company, engages in managing, franchising, and leasing hotels and resorts.",335.63,64.0,342.89,218.88,-2.1,1.05,54.9,340.75,1.5,Strong Uptrend,5,311.38,7.79,False,297.21,12.93,False,280.24,19.77,False,10.0,0
HRL,HRL,Hormel Foods Corporation,Hormel Foods Corporation,필수 소비재,"Hormel Foods Corporation develops, processes, and distributes various meat, nuts, and other food products to foodservice",21.55,47.5,30.04,20.48,-28.3,0.9,24.2,26.75,24.1,Strong Downtrend,1,22.9,-5.9,False,22.85,-5.69,False,24.71,-12.79,False,27.0,0
HWM,HWM,Howmet Aerospace Inc.,Howmet Aerospace Inc.,산업재,Howmet Aerospace Inc. provides advanced engineered solutions for the aerospace and transportation industries in the Unit,242.44,47.8,265.11,133.16,-8.6,0.71,65.3,280.65,15.8,Strong Uptrend,5,241.9,0.22,True,224.06,8.2,False,202.4,19.78,False,46.12,1
HON,HON,Honeywell International Inc.,Honeywell International Inc.,산업재,"Honeywell International Inc. engages in the aerospace technologies, industrial automation, building automation, and ener",213.17,31.7,248.04,183.77,-14.1,1.24,34.0,248.1,16.4,Uptrend,4,232.88,-8.46,False,215.88,-1.26,True,210.23,1.4,True,46.36,2
