symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
373220.KS,373220,LG Energy Solution,LG에너지솔루션,배터리,전기차 배터리 세계 2위,473000.0,0.21,63.8,514000.0,268000.0,-8.0,0.65,,490500.0,3.7,Neutral,3,403825.0,17.13,False,410621.0,15.19,False,379440.0,24.66,False,30.0,0
402340.KS,402340,"SK Square Co., Ltd.",SK스퀘어,기술,SK스퀘어 (KOSPI200),830000.0,2.34,77.7,830000.0,81700.0,0.0,1.55,,743333.0,-10.4,Strong Uptrend,5,591650.0,40.29,False,469950.0,76.61,False,318684.0,160.45,False,10.0,0
005380.KS,005380,Hyundai Motor,현대차,자동차,"국내 1위 완성차, 전기차 전환 중",556000.0,0.18,60.0,674000.0,173027.0,-17.5,0.96,,641336.0,15.3,Strong Uptrend,5,512914.0,8.4,False,419426.0,32.56,False,314453.0,76.81,False,63.0,0
000660.KS,000660,SK Hynix,SK하이닉스,반도체,D램·낸드플래시 메모리 세계 2위,1293000.0,-0.54,71.6,1300000.0,172794.0,-0.5,0.7,,1672070.0,29.3,Strong Uptrend,5,987340.0,30.96,False,808672.0,59.89,False,552923.0,133.85,False,35.0,0
005930.KS,005930,Samsung Electronics,삼성전자,반도체·전자,메모리·시스템반도체·스마트폰·가전,226000.0,1.8,63.2,226000.0,53075.0,0.0,0.82,,274603.0,21.5,Strong Uptrend,5,192496.0,17.41,False,155280.0,45.54,False,112752.0,100.44,False,57.0,0
012450.KS,012450,"Hanwha Aerospace Co., Ltd.",한화에어로스페이스,산업재,한화에어로스페이스 (KOSPI200),1420000.0,1.79,49.6,1537000.0,772732.0,-7.6,0.55,,1644524.0,15.8,Strong Uptrend,5,1356617.0,4.67,False,1180211.0,20.32,False,1046002.0,35.75,False,57.0,0
034020.KS,034020,Doosan Enerbility,두산에너빌리티,에너지기계,원자력·가스터빈 발전설비,129200.0,1.1,74.0,129200.0,23350.0,0.0,0.82,,123105.0,-4.7,Strong Uptrend,5,102042.0,26.61,False,91699.0,40.9,False,76278.0,69.38,False,5.0,0
329180.KS,329180,"HD Hyundai Heavy Industries Co., Ltd.",HD현대중공업,산업재,HD현대중공업 (KOSPI200),690000.0,3.45,76.6,690000.0,348256.0,0.0,1.13,,789227.0,14.4,Downtrend,2,549496.0,25.57,False,553736.0,24.61,False,507312.0,36.01,False,3.0,0
207940.KS,207940,Samsung Biologics,삼성바이오로직스,바이오·CMO,글로벌 바이오 CDMO,1473000.0,-2.06,36.0,1965000.0,1473000.0,-25.0,1.4,,2200579.0,49.4,Strong Downtrend,1,1620217.0,-9.09,False,1701089.0,-13.41,False,1654727.0,-10.98,False,40.0,0
006400.KS,006400,Samsung SDI,삼성SDI,배터리,전기차 배터리·ESS,712000.0,4.71,82.9,712000.0,160200.0,0.0,1.29,,478834.0,-32.7,Strong Uptrend,5,444283.0,60.26,False,375575.0,89.58,False,288212.0,147.04,False,5.0,0
032830.KS,032830,Samsung Life Insurance,삼성생명,보험,국내 1위 생명보험,252000.0,0.0,58.0,258000.0,76810.0,-2.3,0.59,,242422.0,-3.8,Strong Uptrend,5,223113.0,12.95,False,190039.0,32.6,False,158855.0,58.64,False,35.0,0
000270.KS,000270,Kia Corporation,기아,자동차,"현대차 계열 완성차, 글로벌 디자인",156900.0,0.84,51.9,197337.0,81138.0,-20.5,0.67,,221000.0,40.9,Uptrend,4,157198.0,-0.19,True,139441.0,12.52,False,118218.0,32.72,False,69.0,1
009150.KS,009150,Samsung Electro-Mechanics,삼성전기,전자부품,MLCC·카메라모듈·반도체 패키지기판,827000.0,-1.43,79.5,839000.0,116137.0,-1.4,0.76,,659556.0,-20.2,Strong Uptrend,5,473292.0,74.73,False,363857.0,127.29,False,260591.0,217.36,False,5.0,0
028260.KS,028260,Samsung C&T,삼성물산,지주·건설,"삼성그룹 지주 역할, 건설·상사",308500.0,-0.32,55.3,360000.0,112475.0,-14.3,0.88,,373750.0,21.2,Strong Uptrend,5,298700.0,3.28,False,273288.0,12.88,False,221555.0,39.24,False,63.0,0
105560.KS,105560,KB Financial Group,KB금융,금융지주,국민은행 계열 종합금융그룹,160600.0,1.13,59.0,167184.0,77304.0,-3.9,0.76,,191500.0,19.2,Strong Uptrend,5,153022.0,4.95,False,139615.0,15.03,False,123835.0,29.69,False,57.0,0
055550.KS,055550,Shinhan Financial Group,신한지주,금융지주,신한은행 계열 종합금융그룹,100000.0,0.85,62.2,104312.0,45141.0,-4.1,1.23,,119870.0,19.9,Strong Uptrend,5,94285.0,6.06,False,85925.0,16.38,False,74677.0,33.91,False,57.0,0
068270.KS,068270,Celltrion,셀트리온,바이오,항체 바이오시밀러 세계 1위,204000.0,-1.45,49.5,248500.0,145353.0,-17.9,0.82,,260348.0,27.6,Neutral,3,211508.0,-3.55,False,201958.0,1.01,True,184896.0,10.33,False,63.0,1
267260.KS,267260,"HD Hyundai Electric Co., Ltd.",HD현대일렉트릭,산업재,HD현대일렉트릭 (KOSPI200),1260000.0,1.78,69.9,1306000.0,290425.0,-3.5,1.04,,1107301.0,-12.1,Strong Uptrend,5,983712.0,28.09,False,908537.0,38.68,False,708758.0,77.78,False,15.0,0
298040.KS,298040,Hyosung Heavy Industries Corporation,효성중공업,산업재,효성중공업 (KOSPI200),3982000.0,0.15,80.9,3982000.0,436130.0,0.0,0.93,,4293750.0,7.8,Strong Uptrend,5,2737500.0,45.46,False,2389977.0,66.61,False,1751909.0,127.29,False,15.0,0
042660.KS,042660,Hanwha Ocean,한화오션,조선,"전 대우조선해양, 잠수함·LNG선",132300.0,-1.19,53.8,149900.0,73100.0,-11.7,0.74,,164000.0,24.0,Uptrend,4,130512.0,1.37,True,127273.0,3.95,False,112859.0,17.23,False,61.0,1
010120.KS,010120,LS ELECTRIC,LS ELECTRIC,산업재,LS ELECTRIC (KOSPI200),273000.0,4.4,87.2,273000.0,34143.0,0.0,1.39,,203990.0,-25.3,Strong Uptrend,5,159730.0,70.91,False,128299.0,112.78,False,92981.0,193.61,False,5.0,0
012330.KS,012330,Hyundai Mobis,현대모비스,자동차부품,현대·기아 핵심 부품 계열사,439000.0,-1.79,55.7,522849.0,234528.0,-16.0,0.91,,563655.0,28.4,Uptrend,4,422518.0,3.9,False,389985.0,12.57,False,339176.0,29.43,False,65.0,0
006800.KS,006800,Mirae Asset Securities,미래에셋증권,증권,"국내 1위 증권사, 해외 진출",67700.0,-1.17,51.9,72747.0,9252.0,-6.9,0.55,,64953.0,-4.1,Strong Uptrend,5,63797.0,6.12,False,44360.0,52.61,False,31852.0,112.55,False,35.0,0
005490.KS,005490,POSCO Holdings,POSCO홀딩스,철강·소재,"국내 1위 철강, 이차전지 소재",469000.0,0.54,80.0,469000.0,225903.0,0.0,1.24,,433500.0,-7.6,Strong Uptrend,5,367021.0,27.79,False,341959.0,37.15,False,310542.0,51.03,False,5.0,0
042700.KS,042700,"HANMI Semiconductor Co., Ltd.",한미반도체,기술,한미반도체 (KOSPI200),357500.0,-2.59,69.1,373500.0,64500.0,-4.3,0.97,,200333.0,-44.0,Strong Uptrend,5,269794.0,32.51,False,205408.0,74.04,False,150622.0,137.35,False,15.0,0
