symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
^HSI,HSI,Hang Seng Index,항셍 지수,HK Index,Hong Kong large-cap benchmark.,25679.78,-0.95,47.4,27968.09,21395.14,-8.2,1.05,,,,Strong Downtrend,1,26093.22,-1.58,True,26112.1,-1.66,True,25534.56,0.57,True,33.0,3
^N225,N225,Nikkei 225,닛케이 225,JP Index,Japanese large-cap benchmark.,59917.46,-1.02,63.3,60537.36,34220.6,-1.0,1.2,,,,Strong Uptrend,5,55768.64,7.44,False,53421.45,12.16,False,47649.36,25.75,False,45.0,0
^KS11,KS11,KOSPI Composite,코스피,KR Index,Broad Korean stock market index.,6641.02,0.39,71.3,6641.02,2447.43,0.0,1.17,,,,Strong Uptrend,5,5688.34,16.75,False,4982.56,33.29,False,4083.45,62.63,False,15.0,0
^FTSE,FTSE,FTSE 100,FTSE 100,UK Index,United Kingdom large-cap benchmark.,10332.8,0.11,45.0,10910.6,8494.9,-5.3,0.99,,,,Uptrend,4,10418.91,-0.83,True,10145.49,1.85,True,9636.47,7.23,False,47.0,2
^GSPC,GSPC,S&P 500 Index,S&P 500,US Index,Large-cap US equities benchmark.,7135.95,-0.04,66.6,7173.91,5560.83,-0.5,0.64,,,,Uptrend,4,6821.52,4.61,False,6833.92,4.42,False,6606.21,8.02,False,19.0,0
^VIX,VIX,CBOE Volatility Index,VIX 공포지수,Risk Indicator,Market-implied US equity volatility and fear gauge.,18.81,5.5,43.6,31.05,13.47,-39.4,,,,,Uptrend,4,21.86,-13.95,False,19.44,-3.24,False,18.26,3.01,False,32.0,0
^DJI,DJI,Dow Jones Industrial Average,다우 존스,US Index,30-stock US blue-chip index.,48861.81,-0.57,57.5,50188.14,40527.62,-2.6,0.92,,,,Neutral,3,48160.14,1.46,True,48160.71,1.46,True,46462.14,5.16,False,41.0,2
^IXIC,IXIC,NASDAQ Composite,나스닥 종합,US Index,Broad technology-heavy US index.,24673.24,0.04,68.3,24887.1,17446.34,-0.9,0.79,,,,Uptrend,4,22842.67,8.01,False,23076.11,6.92,False,22170.6,11.29,False,19.0,0
^FCHI,FCHI,CAC 40,프랑스 CAC40,FR Index,French large-cap benchmark.,8104.09,-0.46,48.1,8620.93,7537.57,-6.0,0.81,,,,Neutral,3,8156.65,-0.64,True,8141.17,-0.46,True,7990.86,1.42,True,45.0,3
^TWII,TWII,Taiwan Weighted Index,대만 가권지수,TW Index,Taiwan stock market composite benchmark.,39521.73,-0.24,76.0,39616.63,18793.43,-0.2,0.82,,,,Strong Uptrend,5,34053.34,16.06,False,31247.77,26.48,False,27444.52,44.01,False,15.0,0
^STOXX50E,STOXX50E,Euro STOXX 50,유로존 50,EU Index,Eurozone large-cap benchmark covering 50 blue-chip stocks.,5836.1,-0.41,49.0,6173.32,5114.98,-5.5,0.7,,,,Neutral,3,5870.12,-0.58,True,5820.8,0.26,True,5620.99,3.83,False,41.0,2
^GDAXI,GDAXI,DAX Index,독일 DAX,DE Index,German large-cap benchmark.,24018.26,-0.27,52.6,25420.66,22300.75,-5.5,0.9,,,,Strong Downtrend,1,24045.11,-0.11,True,24156.89,-0.57,True,24075.57,-0.24,True,33.0,3
^AXJO,AXJO,S&P/ASX 200,호주 ASX 200,AU Index,Australian large-cap benchmark.,8710.7,-0.64,43.3,9198.6,8145.6,-5.3,0.84,,,,Neutral,3,8821.41,-1.26,True,8763.6,-0.6,True,8753.07,-0.48,True,38.0,3
^BSESN,BSESN,BSE SENSEX,인도 센섹스,IN Index,Indian stock market large-cap benchmark.,76886.91,-0.54,48.5,85762.01,71947.55,-10.3,0.78,,,,Strong Downtrend,0,78976.4,-2.65,False,81723.2,-5.92,False,81820.74,-6.03,False,21.0,0
