symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
950160.KQ,950160,"Kolon TissueGene, Inc.",코오롱티슈진,바이오,코오롱티슈진 (KOSDAQ150),107400.0,0.66,55.2,127000.0,32500.0,-15.4,0.72,,,,Strong Uptrend,5,101377.0,5.94,False,86534.0,24.11,False,63964.0,67.91,False,51.0,0
247540.KQ,247540,EcoPro BM Co.,에코프로비엠,이차전지 소재,"NCM 양극재 제조, 전기차 배터리 핵심 소재",212500.0,-0.47,55.7,245879.0,81160.0,-13.6,1.19,,162848.0,-23.4,Strong Uptrend,5,203608.0,4.37,False,181975.0,16.77,False,148636.0,42.97,False,41.0,0
196170.KQ,196170,Alteogen Inc.,알테오젠,바이오,"피하주사 플랫폼 ALT-B4, ADC 항체-약물 접합체 개발",380000.0,0.93,55.4,559000.0,317500.0,-32.0,1.1,,435000.0,14.5,Downtrend,2,372608.0,1.98,True,427029.0,-11.01,False,426173.0,-10.83,False,37.0,1
277810.KQ,277810,Rainbow Robotics Inc.,레인보우로보틱스,로봇,"협동로봇·이족보행로봇 개발, 삼성전자 지분 투자",664000.0,-0.6,59.7,880000.0,253500.0,-24.5,0.81,,580000.0,-12.7,Uptrend,4,669150.0,-0.77,True,566233.0,17.27,False,428442.0,54.98,False,39.0,1
028300.KQ,028300,HLB Inc.,HLB,바이오,"리보세라닙 항암 신약 개발, HLB그룹 지주",63000.0,0.16,61.7,68200.0,37000.0,-7.6,0.41,,,,Strong Uptrend,5,54092.0,16.47,False,52333.0,20.38,False,49329.0,27.71,False,45.0,0
000250.KQ,000250,"Sam Chun Dang Pharm. Co., Ltd",삼천당제약,제약,삼천당제약 (KOSDAQ150),443000.0,2.55,39.0,1184000.0,130900.0,-62.6,0.23,,,,Uptrend,4,651150.0,-31.97,False,450683.0,-1.7,True,317100.0,39.7,False,32.0,1
058470.KQ,058470,Leeno Industrial Inc.,리노공업,반도체 부품,"반도체 검사용 소켓·핀 제조, 글로벌 점유율 1위",112100.0,0.63,49.7,127000.0,32768.0,-11.7,0.99,,106929.0,-4.6,Strong Uptrend,5,108015.0,3.78,False,84771.0,32.24,False,65484.0,71.19,False,41.0,0
086520.KQ,086520,EcoPro Co.,에코프로,이차전지 소재,"에코프로비엠 지주, 이차전지 소재 그룹사",159900.0,-0.99,56.6,184814.0,38311.0,-13.5,0.88,,37000.0,-76.9,Strong Uptrend,5,156158.0,2.4,False,127176.0,25.73,False,89503.0,78.65,False,41.0,0
298380.KQ,298380,ABL Bio Inc.,에이비엘바이오,헬스케어,"ABL Bio Inc., a biotech research company, focuses on the development of therapeutic drugs for immuno-oncology and neurod",142000.0,1.87,39.3,245500.0,59700.0,-42.2,1.17,,209200.0,47.3,Downtrend,2,175480.0,-19.08,False,179608.0,-20.94,False,130450.0,8.85,False,36.0,0
141080.KQ,141080,LigaChem Biosciences Inc.,리가켐바이오,헬스케어,"LigaChem Biosciences Inc., a clinical stage biopharmaceutical company, engages in the discovery and development of medic",194500.0,-4.42,50.4,213500.0,97000.0,-8.9,0.91,,228333.0,17.4,Strong Uptrend,5,190313.0,2.2,False,182462.0,6.6,False,157577.0,23.43,False,57.0,0
310210.KQ,310210,"Voronoi, Inc.",보로노이,헬스케어,"Voronoi, Inc. researches, develops, and discovers small molecule kinase inhibitors in South Korea. Its products pipeline",296000.0,-1.17,48.5,363500.0,91700.0,-18.6,0.61,,350000.0,18.2,Strong Uptrend,5,289067.0,2.4,False,252803.0,17.09,False,191949.0,54.21,False,63.0,0
087010.KQ,087010,"Peptron, Inc.",펩트론,바이오,펩트론 (KOSDAQ150),270000.0,-0.18,47.8,386000.0,157300.0,-30.1,0.66,,,,Neutral,3,280767.0,-3.83,False,277846.0,-2.82,False,266508.0,1.31,True,37.0,1
214370.KQ,214370,"Caregen Co., Ltd.",케어젠,헬스케어 서비스,케어젠 (KOSDAQ150),106000.0,-0.93,53.8,150100.0,23230.0,-29.4,0.41,,,,Uptrend,4,111685.0,-5.09,False,92366.0,14.76,False,70041.0,51.34,False,45.0,0
240810.KQ,240810,Wonik IPS Co.,원익IPS,반도체 장비,ALD·CVD 반도체 증착 장비 전문,120800.0,-0.25,51.7,137800.0,20935.0,-12.3,0.77,,133214.0,10.3,Strong Uptrend,5,118595.0,1.86,True,93961.0,28.56,False,65089.0,85.59,False,61.0,1
039030.KQ,039030,"EO Technics Co., Ltd.",이오테크닉스,기술,"EO Technics Co., Ltd. manufactures and supplies laser processing equipment worldwide. The company offers semiconductor p",516000.0,0.58,68.2,516000.0,114579.0,0.0,0.87,,471600.0,-8.6,Strong Uptrend,5,421950.0,22.29,False,352104.0,46.55,False,274800.0,87.77,False,15.0,0
036930.KQ,036930,"JUSUNG ENGINEERING Co.,Ltd.",주성엔지니어링,반도체 장비,주성엔지니어링 (KOSDAQ150),125900.0,-3.52,76.5,130500.0,26030.0,-3.5,0.68,,46750.0,-62.9,Strong Uptrend,5,68048.0,85.02,False,48975.0,157.07,False,39539.0,218.42,False,5.0,0
440110.KQ,440110,FADU Inc.,파두,기술,"FADU Inc., a fabless semiconductor company, develops and manufactures flash controller architecture for solid-state driv",81500.0,-0.12,75.4,81600.0,10040.0,-0.1,0.71,,28000.0,-65.6,Strong Uptrend,5,55876.0,45.86,False,39502.0,106.32,False,27168.0,199.99,False,5.0,0
403870.KQ,403870,"HPSP Co., Ltd.",HPSP,산업재,"HPSP Co., Ltd. manufactures and sells high pressure annealing semiconductor equipment for the semiconductor industry in",53400.0,-0.56,64.9,54800.0,20887.0,-2.6,0.5,,52071.0,-2.5,Strong Uptrend,5,45390.0,17.65,False,38617.0,38.28,False,33032.0,61.66,False,35.0,0
095340.KQ,095340,"ISC Co., Ltd.",ISC,반도체 장비,ISC (KOSDAQ150),244000.0,2.74,55.5,271000.0,47779.0,-10.0,0.53,,216286.0,-11.4,Strong Uptrend,5,209853.0,16.27,False,155622.0,56.79,False,109167.0,123.51,False,41.0,0
108490.KQ,108490,"ROBOTIS Co., Ltd.",로보티즈,기술,"ROBOTIS Co., Ltd. provides robotic solutions in South Korea. It provides autonomous indoor robot that offers small goods",328500.0,0.61,64.2,348000.0,34100.0,-5.6,1.42,,316667.0,-3.6,Strong Uptrend,5,269200.0,22.03,False,261532.0,25.61,False,180560.0,81.93,False,35.0,0
032820.KQ,032820,"Woori Technology, Inc.",우리기술,우주항공·방산,우리기술 (KOSDAQ150),22300.0,0.22,51.4,29300.0,1808.0,-23.9,0.36,,,,Strong Uptrend,5,19361.0,15.18,False,11969.0,86.31,False,7814.0,185.39,False,51.0,0
226950.KQ,226950,"OliX Pharmaceuticals, Inc",올릭스,헬스케어,"OliX Pharmaceuticals, Inc., a clinical stage pharmaceutical company, focuses on developing RNA interference (RNAi) thera",184600.0,-0.38,54.6,207000.0,34800.0,-10.8,0.7,,160000.0,-13.3,Strong Uptrend,5,167742.0,10.05,False,151084.0,22.18,False,106637.0,73.11,False,41.0,0
263750.KQ,263750,Pearl Abyss Corp.,펄어비스,게임,"검은사막 개발사, 자체 엔진 기반 MMORPG",59900.0,-1.16,54.5,72000.0,29500.0,-16.8,0.33,,45125.0,-24.7,Strong Uptrend,5,56473.0,6.07,False,47739.0,25.47,False,42313.0,41.56,False,41.0,0
357780.KQ,357780,Solbrain Co.,솔브레인,반도체 소재,"반도체·디스플레이용 화학 소재, 식각액·CMP슬러리",479000.0,-0.93,64.1,498027.0,155074.0,-3.8,0.66,,410000.0,-14.4,Strong Uptrend,5,423539.0,13.09,False,351005.0,36.47,False,284179.0,68.56,False,35.0,0
237690.KQ,237690,"ST Pharm Co.,Ltd.",에스티팜,제약,에스티팜 (KOSDAQ150),163400.0,-3.14,61.4,168700.0,71375.0,-3.1,1.01,,175556.0,7.4,Strong Uptrend,5,149941.0,8.98,False,134249.0,21.71,False,110705.0,47.6,False,45.0,0
214150.KQ,214150,Classys Inc.,클래시스,의료기기,"비침습 미용 의료기기, 슈링크·볼뉴머 글로벌 판매",57500.0,0.0,53.7,75600.0,46275.0,-23.9,0.57,,79941.0,39.0,Neutral,3,58339.0,-1.44,True,57381.0,0.21,True,56693.0,1.42,True,71.0,3
319400.KQ,319400,"HYUNDAI MOVEX Co., Ltd.",현대무벡스,금융 서비스,"HYUNDAI MOVEX Co., Ltd. operates in the information technology (IT) and logistics system businesses in South Korea and i",31800.0,1.44,58.7,46350.0,3845.0,-31.4,0.71,,13000.0,-59.1,Strong Uptrend,5,29994.0,6.02,False,23404.0,35.87,False,14774.0,115.24,False,35.0,0
347850.KQ,347850,D&D Pharmatech,디앤디파마텍,헬스케어,D&D Pharmatech Inc. engages in the research and development and manufacturing of pharmaceuticals in South Korea. It deve,77500.0,-1.52,49.1,320000.0,51000.0,-75.8,0.63,,,,Strong Downtrend,0,80138.0,-3.29,False,96419.0,-19.62,False,118583.0,-34.64,False,11.0,0
064760.KQ,064760,TCSemiconductor Co.,티씨케이,반도체 부품,"식각 공정용 SiC 링·포커스링 제조, 고순도 세라믹",316000.0,0.0,69.0,316000.0,81505.0,0.0,1.11,,301667.0,-4.5,Strong Uptrend,5,239683.0,31.84,False,198379.0,59.29,False,158138.0,99.83,False,15.0,0
145020.KQ,145020,"Hugel, Inc.",휴젤,헬스케어,"Hugel, Inc. develops and manufactures biopharmaceuticals in South Korea and internationally. The company offers Botulinu",263000.0,-0.94,52.9,388000.0,214000.0,-32.2,0.59,,357714.0,36.0,Neutral,3,257050.0,2.31,False,245475.0,7.14,False,287050.0,-8.38,False,53.0,0
