symbol,display_symbol,name_en,name_local,sector,description,price,change_pct,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
^DJI,DJI,Dow Jones Industrial Average,다우 존스,US Index,30-stock US blue-chip index.,49141.93,-0.05,61.9,50188.14,40227.59,-2.1,1.03,,,,Uptrend,4,48169.24,2.02,False,48145.91,2.07,False,46433.76,5.83,False,39.0,0
^KS11,KS11,KOSPI Composite,코스피,KR Index,Broad Korean stock market index.,6615.03,2.15,70.9,6615.03,2447.43,0.0,0.87,,,,Strong Uptrend,5,5663.84,16.79,False,4961.45,33.33,False,4066.44,62.67,False,15.0,0
^N225,N225,Nikkei 225,닛케이 225,JP Index,Japanese large-cap benchmark.,60537.36,1.38,67.0,60537.36,33920.4,0.0,1.01,,,,Strong Uptrend,5,55659.61,8.76,False,53349.7,13.47,False,47552.95,27.31,False,25.0,0
^FTSE,FTSE,FTSE 100,FTSE 100,UK Index,United Kingdom large-cap benchmark.,10321.1,-0.56,44.3,10910.6,8463.5,-5.4,1.01,,,,Uptrend,4,10417.08,-0.92,True,10140.34,1.78,True,9629.6,7.18,False,40.0,2
^VIX,VIX,CBOE Volatility Index,VIX 공포지수,Risk Indicator,Market-implied US equity volatility and fear gauge.,17.83,-1.05,39.5,31.05,13.47,-42.6,,,,,Uptrend,4,21.82,-18.29,False,19.44,-8.28,False,18.25,-2.3,False,28.0,0
^IXIC,IXIC,NASDAQ Composite,나스닥 종합,US Index,Broad technology-heavy US index.,24663.8,-0.9,68.2,24887.1,17366.13,-0.9,0.71,,,,Neutral,3,22824.65,8.06,False,23065.07,6.93,False,22147.58,11.36,False,13.0,0
^GSPC,GSPC,S&P 500 Index,S&P 500,US Index,Large-cap US equities benchmark.,7138.8,-0.49,66.9,7173.91,5528.75,-0.5,0.6,,,,Neutral,3,6818.86,4.69,False,6830.88,4.51,False,6601.03,8.15,False,13.0,0
^HSI,HSI,Hang Seng Index,항셍 지수,HK Index,Hong Kong large-cap benchmark.,25925.65,-0.2,51.0,27968.09,21056.98,-7.3,0.81,,,,Strong Downtrend,1,26111.31,-0.71,True,26117.65,-0.74,True,25522.46,1.58,True,33.0,3
^GDAXI,GDAXI,DAX Index,독일 DAX,DE Index,German large-cap benchmark.,24083.53,-0.19,53.9,25420.66,22300.75,-5.3,0.78,,,,Downtrend,2,24053.79,0.12,True,24156.39,-0.3,True,24074.52,0.04,True,39.0,3
^STOXX50E,STOXX50E,Euro STOXX 50,유로존 50,EU Index,Eurozone large-cap benchmark covering 50 blue-chip stocks.,5860.32,-0.39,50.7,6173.32,5098.74,-5.1,0.55,,,,Neutral,3,5871.98,-0.2,True,5819.66,0.7,True,5619.14,4.29,False,41.0,2
^FCHI,FCHI,CAC 40,프랑스 CAC40,FR Index,French large-cap benchmark.,8141.92,-0.19,50.0,8620.93,7537.57,-5.6,0.65,,,,Neutral,3,8157.02,-0.19,True,8140.86,0.01,True,7990.19,1.9,True,45.0,3
^BSESN,BSESN,BSE SENSEX,인도 센섹스,IN Index,Indian stock market large-cap benchmark.,77303.63,0.83,50.3,85762.01,71947.55,-9.9,0.98,,,,Strong Downtrend,0,79059.25,-2.22,False,81790.79,-5.49,False,81835.11,-5.54,False,15.0,0
^AXJO,AXJO,S&P/ASX 200,호주 ASX 200,AU Index,Australian large-cap benchmark.,8766.4,-0.23,46.9,9198.6,8126.2,-4.7,0.59,,,,Downtrend,2,8824.05,-0.65,True,8765.13,0.01,True,8751.54,0.17,True,39.0,3
^TWII,TWII,Taiwan Weighted Index,대만 가권지수,TW Index,Taiwan stock market composite benchmark.,39616.63,1.76,77.1,39616.63,18793.43,0.0,0.96,,,,Strong Uptrend,5,33923.98,16.78,False,31147.86,27.19,False,27366.46,44.76,False,15.0,0
