symbol,display_symbol,name_en,name_local,sector,description,price,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
XLK,XLK,Technology Select Sector SPDR,기술 ETF,Theme Proxy,Large-cap technology proxy.,160.22,76.2,160.22,102.13,0.0,0.89,38.1,,,Neutral,3,141.24,13.44,False,142.83,12.18,False,136.56,17.33,False,3.0,0
ARKK,ARKK,ARK Innovation ETF,혁신성장 ETF,Theme Proxy,High-beta innovation proxy.,76.5,57.3,92.53,48.78,-17.3,0.75,50.4,,,Downtrend,2,72.02,6.22,False,76.09,0.54,True,75.23,1.69,True,36.0,2
BOTZ,BOTZ,Global X Robotics & AI ETF,로봇·AI ETF,Theme Proxy,Robotics and AI proxy.,37.36,59.9,39.66,27.96,-5.8,1.03,38.2,,,Downtrend,2,36.34,2.81,False,36.36,2.75,False,34.91,7.02,False,27.0,0
XLF,XLF,Financial Select Sector SPDR,금융 ETF,Theme Proxy,Financial sector proxy.,51.42,53.4,56.11,47.29,-8.4,0.65,17.3,,,Downtrend,2,51.02,0.78,True,52.21,-1.51,True,51.99,-1.1,True,46.0,3
IBB,IBB,iShares Biotechnology ETF,바이오테크 ETF,Theme Proxy,Biotechnology proxy.,169.78,47.2,177.51,116.35,-4.4,1.04,23.2,,,Neutral,3,170.78,-0.59,True,169.72,0.04,True,152.79,11.12,False,44.0,2
XLE,XLE,Energy Select Sector SPDR,에너지 ETF,Theme Proxy,Energy sector proxy.,56.87,48.4,62.56,39.0,-9.1,0.67,21.9,,,Strong Uptrend,5,56.25,1.1,True,50.72,12.13,False,46.55,22.17,False,52.0,1
ICLN,ICLN,iShares Global Clean Energy ETF,클린에너지 ETF,Theme Proxy,Clean energy proxy.,19.99,63.5,20.14,11.53,-0.7,0.92,22.7,,,Strong Uptrend,5,18.61,7.42,False,17.81,12.24,False,15.94,25.41,False,48.0,0
SOXX,SOXX,iShares Semiconductor ETF,반도체 ETF,Theme Proxy,Semiconductor cycle proxy.,461.6,85.7,461.6,181.35,0.0,1.3,51.8,,,Strong Uptrend,5,357.83,29.0,False,333.25,38.51,False,290.23,59.05,False,10.0,0
